clickability_test_id,n_variants,mean_ctr,max_ctr,min_ctr,total_impr,total_clicks,ctr_range,rel_lift
515b6b834c9a93000200e7b6,4,0.017913414701119082,0.020976353928299007,0.015219005196733483,10850,194,0.005757348731565524,0.32139872981368833
515c24124dc7ca0002003fb7,4,0.008560941218135443,0.014102984585109873,0.005378044922492882,12448,106,0.00872493966261699,1.019156590414864
515c5f7766c7d70002001c73,4,0.023385612882112657,0.029357231149567366,0.01986128625472888,12684,297,0.009495944894838487,0.40605926997542185
515c71a366c7d7000200410a,3,0.01570273487100017,0.02137826961770624,0.012412177985948477,12526,195,0.008966091631757761,0.5709891751605862
515cad48519f250002009cc1,4,0.012833241935660916,0.01986062717770035,0.007259528130671506,11399,147,0.012601099047028844,0.9819108149136505
515d8ab1bbd6020002014333,4,0.036830495019678465,0.04680073126142596,0.028941355674028942,11017,407,0.01785937558739702,0.48490729157603746
515db1c9683d3f000200112c,4,0.03697043341008673,0.04131102765448959,0.028532608695652172,11788,436,0.012778418958837415,0.34563887355864886
515df0dc03099b0002005e2f,4,0.01640751726813433,0.025815704553603443,0.006598240469208211,11296,186,0.01921746408439523,1.1712597201843697
515f5412173b6e0002002a15,4,0.04346184347868209,0.053206997084548104,0.03159389421370252,11309,491,0.021613102870845585,0.49728914240480276
5162111fedfe45000200fff4,4,0.03558102878081448,0.0381340244353943,0.03288271830471319,10937,389,0.005251306130681109,0.14758724833478246
516249aafa95a500020168df,4,0.0370927101350018,0.0416820361490225,0.03249235474006116,10663,396,0.009189681408961342,0.247748988292168
5162f6f0f62aaf0002000efb,4,0.009106667638704016,0.013311688311688311,0.006555227794165847,12280,112,0.006756460517522464,0.7419245750011787
51637899bf5cd10002006730,4,0.0036910670539231035,0.004374772147283996,0.00288496213487198,11122,41,0.0014898100124120157,0.40362583248888684
5163a3256891a60002002fca,4,0.01815686872850847,0.023100100435219283,0.014122394082044385,11800,214,0.008977706353174898,0.4944523467903262
5163a7c1f6c13700020032cc,4,0.01533129480606173,0.02027972027972028,0.010996563573883162,11700,179,0.009283156705837117,0.6055037635938432
516436d1e884fc0002009a5d,4,0.012721771699605186,0.019256756756756758,0.01,11785,150,0.009256756756756758,0.7276311016526131
51643a9c6891a60002009dc5,4,0.013072422890157427,0.014978601997146932,0.010495837857401375,11087,145,0.004482764139745557,0.3429176195883893
516492475f77be0002011c74,3,0.018892013306789007,0.021460350693535725,0.014324324324324324,11111,210,0.007136026369211401,0.3777271513273288
5164952837c76c0002012091,4,0.024537615182191278,0.02672683096147171,0.02034987504462692,11557,284,0.006376955916844791,0.2598849101469734
5164955d6acaf10002012169,4,0.015857656411908522,0.019457956914523976,0.01349380014587892,11335,180,0.0059641567686450556,0.37610581372958685
5164a6e6f78c010002013ad3,3,0.009943111459385572,0.013075456278943067,0.005579171094580234,11104,110,0.007496285184362833,0.7539174447538639
5164a93c37c76c0002013d7b,4,0.008124773841408488,0.01011804384485666,0.005287275290800141,11541,94,0.0048307685540565195,0.5945726796032357
5164decff2d7ad0002000dc1,5,0.02051760634707442,0.025688930406352173,0.016557734204793027,11099,227,0.009131196201559146,0.44504198233928743
51655f47e8f2ae00020059ac,4,0.009345707815669489,0.011422254974207811,0.007326007326007326,11027,103,0.004096247648200485,0.4383025586711055
5166e6d682c2b40002007da4,4,0.013827798520590562,0.019424460431654675,0.009298998569384835,11067,153,0.01012546186226984,0.7322540784198089
5167423382c2b4000200e328,4,0.021347798583432206,0.02616571620261657,0.018893387314439947,11946,255,0.007272328888176624,0.3406594295779331
516880d2a056a1000200f058,4,0.017821097359784974,0.025988286969253295,0.008719916288803628,11019,195,0.017268370680449667,0.9689847000902095
5168913c97ce0e00020103bb,4,0.008835115859439201,0.010964912280701754,0.007583965330444204,11103,98,0.00338094695025755,0.38267149000037576
5168aa848689c90002011d08,3,0.017419355839853344,0.020286718961319988,0.012782159369050857,11074,193,0.0075045595922691305,0.4308172851661725
516a19ad439940000200cf18,4,0.014327856931498822,0.017797552836484983,0.008718726307808946,10728,154,0.009078826528676037,0.633648603003346
516c5195eecb04000200598e,5,0.021969026581355664,0.05071521456436931,0.010443864229765013,11206,248,0.0402713503346043,1.8330967093817971
516dc51212b7d500020080f5,4,0.027296197439917756,0.030950626381724394,0.022562141491395793,10572,289,0.0083884848903286,0.307313313834012
516df4ea6528290002001134,4,0.007950330977770287,0.010682288077188146,0.005330490405117271,11423,91,0.005351797672070876,0.6731540720801307
516e0278eb1fc00002003d75,4,0.007449243728878852,0.009021512838306732,0.00535475234270415,11561,86,0.0036667604956025822,0.49223258481763327
516e6a39f91cf00002018bfb,4,0.009146546494544473,0.011276827937431793,0.005921539600296077,11013,101,0.005355288337135717,0.5854983998966078
516ec172accfd3000202fc33,4,0.011943846732602119,0.017063633131887666,0.008397480755773267,11407,136,0.008666152376114398,0.7255746469400958
516f1dfff9c4b100020135e2,5,0.008903072101722009,0.010945709281961471,0.004629629629629629,11710,104,0.006316079652331842,0.7094269910619058
516f29bc1b4543000201744a,3,0.006945369557700692,0.008611955420466059,0.006017791732077446,11637,81,0.0025941636883886126,0.37350981352926405
516f2c6900815a0002018c77,3,0.015822207344310123,0.02348136804492088,0.010257693269952465,11703,185,0.013223674774968414,0.8357667477871742
516f2cc68d86850002016cc6,4,0.007214930080659489,0.010832769126607989,0.003363605785401951,11796,85,0.007469163341206038,1.035237106625337
517035751ed32b000205510f,4,0.014169949025885444,0.016855865153078776,0.012199497667743094,11485,163,0.004656367485335683,0.32860862638457644
51707d7711362200020065a4,4,0.029526511096195397,0.036213696665471494,0.022719204827831026,11358,335,0.013494491837640468,0.4570296772848074
51708b0defe57b0002008c03,2,0.008473377218443073,0.009317326643970614,0.007629427792915531,11086,94,0.0016878988510550825,0.1992002489138826
51708d2cefe57b00020092bf,4,0.011269094457711326,0.018076644974692697,0.004815961472308222,11425,128,0.013260683502384477,1.1767301758048827
5171a7135f5c190002027134,3,0.011904979970497947,0.016734143049932523,0.0070661390616167325,10852,130,0.009668003988315792,0.8120974594055878
5171b1b90edd770002000369,4,0.010694533181288409,0.012156998957971519,0.008990318118948824,11597,124,0.003166680839022695,0.29610276440707567
5171cc40a507ae0002002eae,4,0.014756997155797208,0.018430034129692834,0.009644163618224144,11933,176,0.00878587051146869,0.5953698044874399
5172dabbcc9da3000201aa12,4,0.0046596053650288915,0.007102803738317757,0.00288912964969303,11000,51,0.004213674088624727,0.9042984885048523
5172ee930edd77000201d4a5,4,0.0087852048253781,0.013823208439432522,0.005077983315197679,11008,97,0.008745225124234843,0.9954492010217262
51756f5cf3cc1c000200b45a,4,0.042964350381388364,0.05171130952380952,0.03746721618583739,10909,468,0.014244093337972129,0.33153284552261025
5175a64c162a4e0002000e8f,4,0.020284840782850207,0.03406593406593406,0.011904761904761904,11075,224,0.02216117216117216,1.0924991918057496
5175b5518d59bc0002002d41,4,0.025258967036825335,0.03490990990990991,0.01256281407035176,10877,273,0.02234709583955815,0.8847193080769322
5176b6a937ff320002010120,2,0.012536521178217928,0.013701201201201201,0.011371841155234657,10868,136,0.002329360045966544,0.18580593554245192
5176c73032738d0002011ca1,4,0.060612695890158864,0.06519453207150368,0.05866965620328849,11212,680,0.006524875868215187,0.10764866621407895
5176d0a90c13640002012b30,3,0.017187114562370546,0.01841620626151013,0.015654019633855133,11229,193,0.0027621866276549972,0.16071264420978065
5176d31032738d0002012e48,4,0.010525974665120468,0.01642935377875137,0.006581352833638025,10936,115,0.009848000945113344,0.9355904092897259
51773b0ff3e68d0002006ca1,4,0.014310307121833288,0.021113942482708408,0.007766272189349112,11012,158,0.013347670293359296,0.9327312251038069
5177b3a7d5ad4e000200f96a,4,0.017765669987475814,0.02351212343864805,0.011644832605531296,10920,194,0.011867290833116755,0.6679900528087478
5177e8668359400002014e52,4,0.011812181289535128,0.01645940014630578,0.007717750826901874,10993,130,0.008741649319403905,0.7400537720453438
51780546f545960002001a83,4,0.019087494310296566,0.023991275899672846,0.01349911190053286,11013,210,0.010492163999139987,0.5496878651840692
51783b4f3993880002003e17,3,0.04401864700520309,0.04849137931034483,0.0367152466367713,10930,482,0.011776132673573525,0.2675260026093388
51784add60ee53000200671f,4,0.00880024580869798,0.011591148577449948,0.006491288008199521,11857,104,0.005099860569250427,0.579513422705742
517873f25400d80002001804,5,0.01622223482654519,0.02194787379972565,0.010056843025797988,11242,182,0.011891030773927662,0.7330081768061835
51788b11e61180000200371f,4,0.01885039719943627,0.023502304147465437,0.013837638376383764,8690,164,0.009664665771081674,0.5127035610353452
5178e8b338d102000200c9e3,4,0.013399513772121341,0.018003913894324854,0.008585293019783502,10364,138,0.009418620874541352,0.7029076602867094
517954e79cf32800020089a2,4,0.021354577683159917,0.02457002457002457,0.017295053614666205,11252,240,0.007274970955358364,0.3406750095130825
51797f15e42a5d000200aae5,4,0.02242169904024294,0.026558465510881594,0.019174041297935103,11013,247,0.007384424212946491,0.3293427585346128
517a7fb0601059000200fdbf,4,0.011194456397396121,0.014285714285714285,0.00727802037845706,11122,125,0.007007693907257226,0.6259968022107125
517acfb80c5d25000200bd6e,4,0.03342636919954492,0.039698162729658794,0.0258732212160414,12355,413,0.013824941513617395,0.4135938734801509
517ad17c4bb1b6000200c693,5,0.029447774842581948,0.044889779559118236,0.014901329037454692,12355,364,0.029988450521663546,1.0183604935168062
517ad2c4accde5000200d08e,3,0.014515637144732809,0.020436730123180293,0.01,10757,156,0.010436730123180292,0.7189991055244446
517aebc2a7615a00020156ff,4,0.013193805834205334,0.017439703153988868,0.005268703898840885,11135,146,0.012170999255147983,0.92247827564616
517dfd8aa6c3f10002006e7a,4,0.027294727162503772,0.03437854174537212,0.02175543885971493,10749,293,0.012623102885657187,0.4624740452800063
517eb59d6e47350002029217,4,0.014520497187630824,0.017888460189407224,0.01227830832196453,11449,166,0.005610151867442695,0.3863608659503519
517ed594c595b1000203449c,4,0.010942064936047373,0.013545546901456146,0.008855827134254339,11486,126,0.0046897197672018075,0.42859549770647637
517f0727a6c3f10002046a30,4,0.011771550985398387,0.017039759438690277,0.004910557699052964,11813,140,0.012129201739637312,1.030382636466729
517f5a214539e6000200c285,5,0.013795836423580721,0.018859245630174794,0.009237875288683603,10871,150,0.009621370341491192,0.6974111642151493
5180a9d210ed50000200a605,4,0.015735585155684198,0.018418201516793065,0.01353823637028906,10735,169,0.004879965146504005,0.31012289013867433
5180b91fc0bfaa000200bf05,4,0.013506510070176909,0.015128593040847202,0.012030075187969926,10592,143,0.003098517852877276,0.229409213540585
51819d6e09677a000202a35e,4,0.01844836724509054,0.023184452778724857,0.0140218878248974,11601,214,0.009162564953827456,0.49665993917514784
51819f7742e91b00020289b0,4,0.008588591903604607,0.010469314079422382,0.0072254335260115606,11043,95,0.0032438805534108217,0.37769643613516835
5181a17559e7fe000202d585,4,0.01622585746810514,0.020856201975850714,0.011307420494699646,11107,180,0.009548781481151068,0.5884916405756013
5181b47809677a000202dd3f,3,0.023023089318724294,0.027101769911504425,0.01945945945945946,11048,254,0.007642310452044967,0.33194113727516156
518227713bf061000200b434,4,0.010334566791755062,0.012648809523809524,0.007361487795428129,10523,109,0.005287321728381395,0.511615226348881
51829f7d3bf0610002022e26,4,0.01333324485541252,0.015047879616963064,0.011800404585300068,11780,157,0.0032474750316629965,0.24356224361579254
5182a936d8485a00020266da,3,0.02199783920841415,0.024304617877396704,0.01835824809861002,11245,247,0.005946369778786684,0.2703160852504188
518329c9584ba2000200b9d1,4,0.022634649084885924,0.02520126006300315,0.02104524728165556,11355,257,0.004156012781347591,0.18361286564511972
5183c538584ba20002022835,4,0.040219702436523966,0.04887459807073955,0.03658934988565828,12456,501,0.012285248185081268,0.30545348276681666
5183ce3fc6b1b5000201e1f6,3,0.02856004533239748,0.03059418457648546,0.02619647355163728,11698,334,0.004397711024848181,0.1539812340514592
518870298df9c12137000c2d,4,0.02725760184211766,0.04097222222222222,0.018355100600070597,11339,310,0.022617121622151626,0.8297546406743789
51889187862c8924a10060cf,4,0.034533346489372424,0.04237918215613383,0.027373527373527374,11190,385,0.015005654782606456,0.4345265173540137
51890a6af651b4001500b412,4,0.02329521192035136,0.024766690595836326,0.020856610800744878,10851,253,0.003910079795091448,0.1678490759586304
5189a0d6d971067ca4001e18,2,0.0063570412788427,0.006687785990848293,0.006026296566837107,11158,71,0.0006614894240111859,0.10405617880958767
5189df873d57a6208300105f,4,0.026386250184419518,0.034417549167927386,0.01730977280923188,10806,284,0.017107776358695505,0.6483595144867254
5189e3d2ae53b7721e001983,4,0.0077276712738151366,0.012082444918265814,0.003795066413662239,10768,84,0.008287378504603574,1.072428964814404
5189ee45010e7a321a0018dc,4,0.005006150649309259,0.007605939876856212,0.002617801047120419,10726,54,0.004988138829735793,0.9964020620162616
518a4b21ae53b72126004995,4,0.004465101945008823,0.006015569709837226,0.0021652832912306026,11181,50,0.003850286418606623,0.862306497371364
518a5aa6f760c4290c005ac3,4,0.008413805294450506,0.009937430990062569,0.00657439446366782,11220,94,0.0033630365263947488,0.39970458177976936
518a8692ae53b77c820041a5,4,0.005467584495939519,0.007491972886193364,0.0035137034434293743,11337,62,0.00397826944276399,0.727610052614356
518aaace7c8dd700140026a5,5,0.011833600531482951,0.016689219666215605,0.007352941176470588,10696,127,0.009336278489745017,0.7889634659295891
518adc5fff593b0015007b14,4,0.01695697631900856,0.02046783625730994,0.013775130305286671,11080,188,0.006692705952023269,0.3946874623231518
518b06cd7c8dd70014009b61,4,0.012681445193148812,0.016375545851528384,0.00865051903114187,11159,141,0.007725026820386515,0.6091598159932106
518bac810aae7000100152d6,2,0.01388700121221291,0.014576747453459783,0.013197254970966039,11377,158,0.0013794924824937441,0.09933695989603218
518c1445fb74660019009502,2,0.024486121384357844,0.026470588235294117,0.022501654533421574,12164,298,0.003968933701872544,0.16208911323979497
518d22e06ada4b253501624c,4,0.005537539774287787,0.008145363408521303,0.0022264631043256997,12631,70,0.005918900304195603,1.0688682240583753
